year,title,category,date_or_window,date_status,programme_status,coverage,participation_mode,audience,impact_goal,price_inr,source_name,source_url
2026,National Sports Day 2026,Health,2026-08-29,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Campus + sports venue + community,Students; families; athletes; beginners,Join a safe and inclusive physical activity,0,Ministry of Youth Affairs and Sports,https://yas.nic.in/sites/default/files/Monthly%20Report%20August%20Isued.pdf
2026,International Literacy Day 2026,Education,2026-09-08,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + school + library + community,Learners; students; educators; volunteers,Support reading or digital literacy through verified activity,0,UNESCO,https://www.unesco.org/en/days/literacy
2026,Cyber Security Awareness Month 2026,Safety,2026-10-01 to 2026-10-31,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + campus + workplace,Students; families; employees; senior citizens,Improve account security and learn scam prevention,0,CERT-In,https://www.cert-in.org.in/NCSA.jsp
2026,Gandhi Jayanti Service Activities 2026,Civic,2026-10-02,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Public + campus + community,Families; students; volunteers; civic groups,Join verified service; cleanliness or peace education,0,MyGov India,https://www.mygov.in/
2026,World Mental Health Day 2026,Health,2026-10-10,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + campus + workplace + health institution,Students; employees; families; educators,Learn support pathways from evidence-based sources,0,World Health Organization,https://www.who.int/india/campaigns/world-mental-health-day
2026,National Education Day 2026,Education,2026-11-11,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Campus + school + online,Students; teachers; parents; lifelong learners,Join verified learning; reading or mentoring activity,0,Ministry of Education,https://www.education.gov.in/
2026,Constitution Day 2026,Civic,2026-11-26,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + public institution + campus,Students; educators; citizens; public servants,Read the Preamble and connect rights with duties,0,MyGov India,https://www.mygov.in/campaigns/constitution-day
2026,Human Rights Day 2026,Inclusion,2026-12-10,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + campus + community,Students; educators; civil-society groups; citizens,Learn about dignity; equality and inclusion,0,United Nations,https://www.un.org/en/observances/human-rights-day
2027,National Girl Child Day 2027,Inclusion,2027-01-24,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + campus + community,Students; parents; educators; youth groups,Learn about rights and support equal opportunity,0,Press Information Bureau,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2217624
2027,National Voters' Day 2027,Civic,2027-01-25,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + public institutions,New voters; students; eligible citizens,Check enrolment and build electoral literacy,0,Election Commission of India,https://www.eci.gov.in/voicenet/ArticleDECUS.htm
2027,Republic Day Civic Programmes 2027,National,2027-01-26,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Public + campus + broadcast,Families; students; educators; citizens,Learn constitutional values through a verified programme,0,MyGov India,https://blog.mygov.in/editorial/73rd-republic-day-of-india/
2027,National Science Day 2027,Education,2027-02-28,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Campus + science centre + online,Students; teachers; researchers; learners,Join a science exhibition; quiz or open house,0,Department of Science and Technology,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-council-science-technology-communication-ncstc
2027,International Women's Day 2027,Inclusion,2027-03-08,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + workplace + campus + community,Women; students; professionals; educators; allies,Support rights; leadership; safety and opportunity,0,United Nations,https://www.un.org/en/observances/womens-day
2027,World Water Day 2027,Environment,2027-03-22,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + campus + community,Students; residents; environmental groups,Take practical action for water conservation,0,United Nations,https://www.un.org/en/observances/water-day
2027,World Health Day 2027,Health,2027-04-07,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + health institution + community,Families; students; health workers; public,Use evidence-based health resources and activities,0,World Health Organization,https://www.who.int/campaigns/world-health-day
2027,International Mother Earth Day 2027,Environment,2027-04-22,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + campus + community,Students; families; volunteers; environmental groups,Complete one measurable environmental action,0,United Nations,https://www.un.org/en/observances/earth-day
2027,National Technology Day 2027,Technology,2027-05-11,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Campus + innovation hub + online,Engineering students; researchers; founders; professionals,Attend a verified innovation or technology showcase,0,Department of Science and Technology,https://dst.gov.in/faqs/does-dst-celebrate-special-occasion-felicitate-outstanding-scientist
2027,World Environment Day 2027,Environment,2027-06-05,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + public + campus + community,Students; families; volunteers; institutions,Join a verified clean-up; restoration or learning action,0,United Nations Environment Programme,https://www.unep.org/events/un-day/world-environment-day
2027,International Day of Yoga 2027,Health,2027-06-21,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Public + campus + workplace + online,Beginners; families; students; professionals; seniors,Use the official protocol or a verified suitable session,0,Ministry of Ayush,https://yoga.ayush.gov.in/
2027,World Youth Skills Day 2027,Career,2027-07-15,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + campus + training centre,Students; job seekers; trainees; early-career professionals,Complete a skill audit and one verified learning activity,0,United Nations,https://www.un.org/en/observances/world-youth-skills-day
2027,National Handloom Day 2027,Livelihood,2027-08-07,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Exhibition + online + community,Families; students; designers; craft buyers,Learn to identify handloom and support verified artisans,0,Development Commissioner for Handlooms,https://handlooms.nic.in/
2027,Independence Day Community Programmes 2027,National,2027-08-15,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Public + campus + broadcast,Families; students; educators; citizens,Connect celebration with one community responsibility,0,MyGov India,https://www.mygov.in/
2027,National Sports Day 2027,Health,2027-08-29,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Campus + sports venue + community,Students; families; athletes; beginners,Join a safe and inclusive physical activity,0,Ministry of Youth Affairs and Sports,https://yas.nic.in/sites/default/files/Monthly%20Report%20August%20Isued.pdf
2027,International Literacy Day 2027,Education,2027-09-08,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + school + library + community,Learners; students; educators; volunteers,Support reading or digital literacy through verified activity,0,UNESCO,https://www.unesco.org/en/days/literacy
2027,Cyber Security Awareness Month 2027,Safety,2027-10-01 to 2027-10-31,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + campus + workplace,Students; families; employees; senior citizens,Improve account security and learn scam prevention,0,CERT-In,https://www.cert-in.org.in/NCSA.jsp
2027,Gandhi Jayanti Service Activities 2027,Civic,2027-10-02,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Public + campus + community,Families; students; volunteers; civic groups,Join verified service; cleanliness or peace education,0,MyGov India,https://www.mygov.in/
2027,World Mental Health Day 2027,Health,2027-10-10,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + campus + workplace + health institution,Students; employees; families; educators,Learn support pathways from evidence-based sources,0,World Health Organization,https://www.who.int/india/campaigns/world-mental-health-day
2027,National Education Day 2027,Education,2027-11-11,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Campus + school + online,Students; teachers; parents; lifelong learners,Join verified learning; reading or mentoring activity,0,Ministry of Education,https://www.education.gov.in/
2027,Constitution Day 2027,Civic,2027-11-26,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + public institution + campus,Students; educators; citizens; public servants,Read the Preamble and connect rights with duties,0,MyGov India,https://www.mygov.in/campaigns/constitution-day
2027,Human Rights Day 2027,Inclusion,2027-12-10,FIXED_ANNUAL_DATE,DETAILS_TBA,Nationwide,Online + campus + community,Students; educators; civil-society groups; citizens,Learn about dignity; equality and inclusion,0,United Nations,https://www.un.org/en/observances/human-rights-day
